Name;GoogleForms_Encontrados
AMC04CUX04 Público general;['https://docs.google.com/forms/d/e/1FAIpQLSdH2Fv8BA0xvMGj6uvDdPxHsJd49kXKq91qf1vgRgqqj1nJAQ/viewform']
EDU05CUX05 Hacer una consulta;['https://docs.google.com/forms/d/e/1FAIpQLSfZ4WuEPhqZq-rabh4jQKbjm7Us4glHWZK4NuThraJG5BzQVA/viewform']
DH11CUX06 Quiero inscribirme ;['https://docs.google.com/forms/d/e/1FAIpQLSeXeJLV7ua_dmBXD6CDjJWzhI-KJYG2hl0OG0XOw0Z9tjC5jg/viewform']
DH11CUX03 Final MP;['https://docs.google.com/forms/d/1PdRbptvNhrRRzlCI40JoSsD102ooPwrs25uhrb1nFK0/viewform?edit_requested=true']
DH08CUX01 Cómo me inscribo;['https://docs.google.com/forms/d/e/1FAIpQLSc03jPlsDYwMCR64YZStgV9FxEEZxzmP-I9xsbIbwxpVDI6_w/viewform']
DH011CUX04 Cómo me inscribo;['https://docs.google.com/forms/d/e/1FAIpQLSc4mmLvexIEc-PDcTjgZKhAcYwkMwLRRsgEw3gZEbSYXkX4Sg/viewform', 'https://docs.google.com/forms/d/e/1FAIpQLSfKKKO1gbhTe4h6JJgdXTtaJOJSZQkP4BOm00t3B18zOFWPeA/viewform']
AGC01CUX02 Más sobre SIFER;['https://docs.google.com/forms/d/e/1FAIpQLScz6cUBfJzl4j8GnjDcritXLs_9LO5R1MVAlWg4tz6QmtlBrQ/viewform']
AGC01CUX02 Capacitarte en SIFER;['https://docs.google.com/forms/d/e/1FAIpQLScz6cUBfJzl4j8GnjDcritXLs_9LO5R1MVAlWg4tz6QmtlBrQ/viewform']
EDU03CUX06 Hacer una consulta;['https://docs.google.com/forms/d/e/1FAIpQLScQ13VpvsDwTKeEWXNxV2IRFUt6J5EpwoHKCQ2nNkH6ViRXDA/viewform']
EDU03CUX05 Inscripciones;['https://docs.google.com/forms/d/e/1FAIpQLSf1a6dHSAPigm_1yfMGYctzQyugcTSK36_SdPideVE5heZlkQ/viewform']
EDU05CUX04 Hacer una consulta Agencia;['https://docs.google.com/forms/d/e/1FAIpQLSfDF8UWB3V9yfZXKuf6jyxdVjfd1C4OsS47lWD-9irlszP_ZQ/formResponse']
EDU02CUX010 Hacer una consulta;['https://docs.google.com/forms/d/e/1FAIpQLSfDF8UWB3V9yfZXKuf6jyxdVjfd1C4OsS47lWD-9irlszP_ZQ/viewform']
DH06CUX01 Cómo anotarse;['https://docs.google.com/forms/d/10ysUyzWWJB0DrmaWsWBl5dFJwvCrpctQuT_aAUkEBrM/edit?usp=sharing']
DH011CUX02 Cómo me inscribo;['https://docs.google.com/forms/d/e/1FAIpQLSc4mmLvexIEc-PDcTjgZKhAcYwkMwLRRsgEw3gZEbSYXkX4Sg/viewform', 'https://docs.google.com/forms/d/e/1FAIpQLSfKKKO1gbhTe4h6JJgdXTtaJOJSZQkP4BOm00t3B18zOFWPeA/viewform']
EP01CUX01 Economía Circular;['https://docs.google.com/forms/d/1H0IEA4BWEi4f4jLg_3sOMSeOcmai9xQwECewLvsFrOw/viewform?edit_requested=true']
EP01CUX01 Curso basura cero;['https://docs.google.com/forms/d/e/1FAIpQLScPlUhMAQH_XVpqDAPS8uRQIfpj2jFIFV4aUMOA1-4KI2hMxw/viewform']
DH01CUX01 Terminar estudios;['https://docs.google.com/forms/d/e/1FAIpQLScnh8UsbvKA5wC3jRvU0oNC7-CYiYprt1CgcS5vYvc84TdIOA/viewform']
CU12CUX01 Cancelar una compra;['https://docs.google.com/forms/d/e/1FAIpQLSfGk9aAIVktpvZ0ORW2ftd0RLDylMh6QtNrv0zfjg2x5VIfEw/viewform']
CU03CUX07 Cómo la pido;['https://docs.google.com/forms/d/e/1FAIpQLSfKk6noOqhMdBc3-Nd1X7ODpZ0KiykQQjxbVCwf6pqPAyzKVQ/viewform', 'https://docs.google.com/forms/d/e/1FAIpQLSeD7wQkJDRKIE-QCZz4jRE5Gjkzbpxuql73lN5sSivBf_hjGQ/viewform']
AM02CUX03 Sumarme a la Red;['https://docs.google.com/forms/d/e/1FAIpQLSc5aY5jikYYkyyA9FgjVXyQxdb_B4QlXTgvSgr5J0L1Onu0Rg/viewform']
DH11CUX01 Redes sociales;['https://docs.google.com/forms/d/e/1FAIpQLSc4mmLvexIEc-PDcTjgZKhAcYwkMwLRRsgEw3gZEbSYXkX4Sg/viewform', 'https://docs.google.com/forms/d/e/1FAIpQLSfKKKO1gbhTe4h6JJgdXTtaJOJSZQkP4BOm00t3B18zOFWPeA/viewform']
DH11CUX07 Mensaje final;['https://docs.google.com/forms/d/e/1FAIpQLSeX2_iqKYHOZAL8ZTEAAqF2XEldxGfl9e9tVscJFkTYebcosQ/viewform']
