Name;URLs_encontradas;URL_Invalida
CU01CUX13 Apertura;['https://lolaensaavedra.com.ar/'];['https://lolaensaavedra.com.ar/']
JU03CUX01 Mis derechos;['http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley6115.html'];['http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley6115.html']
OB05CUX02 Conforme de obra - Paso a paso;['https://drive.google.com/file/d/1AiUxSkVMBn0Ej4biS4NNx7HNB8wWPAAS/view?usp=sharing'];['https://drive.google.com/file/d/1AiUxSkVMBn0Ej4biS4NNx7HNB8wWPAAS/view?usp=sharing']
LIC00CUX01 DDJJ Acepta;['https://boletacenat.safit.com.ar/'];['https://boletacenat.safit.com.ar/']
CU10CUX01 Visitas guiadas;['https://www.buenosaires.gob.ar/cultura/casco-historico/visitas-y-recorridos-guiados', 'https://www.buenosaires.gob.ar/cultura/casco-historico/visitas-escolares'];['https://www.buenosaires.gob.ar/cultura/casco-historico/visitas-escolares']
Sin turnos | sigeci;['http://www.buenosaires.gob.ar/turnos.'];['http://www.buenosaires.gob.ar/turnos.']
Terminar atención humana INFRACCIONES;['http://www.buenosaires.gob.ar/consulta-de-infracciones.'];['http://www.buenosaires.gob.ar/consulta-de-infracciones.']
TUR00CUX02 Turnos para trámites;['http://www.buenosaires.gob.ar/turnos.'];['http://www.buenosaires.gob.ar/turnos.']
TR04CUX02 Seguimiento DNI;['https://www.correoargentino.com.ar/formularios/ondng', 'https://www.oca.com.ar:8443/WEB/Seguimiento/BuscarEnvio/paquetes/', 'https://mitramite.renaper.gob.ar'];['https://www.oca.com.ar:8443/WEB/Seguimiento/BuscarEnvio/paquetes/']
TRA04CUX17   Dónde solicitarlo ;['https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales'];['https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/listado-serviciossocialeszonales']
Registro de Empleadores;['http://www.buenosaires.gob.ar/tramites/registro-de-empleadores-0'];['http://www.buenosaires.gob.ar/tramites/registro-de-empleadores-0']
